   Value:      BST:      AVL:    Splay: 
       834       834        10         1
       835       835         8         1
       836       836        10         1
       837       837         9         1
       838       838        10         1
       839       839         7         1
       840       840        10         1
       841       841         9         1
       842       842        10         1
       843       843         8         1
       844       844        10         1
       845       845         9         1
       846       846        10         1
       847       847         6         1
       848       848        10         1
       849       849         9         1
       850       850        10         1
       851       851         8         1
       852       852        10         1
       853       853         9         1
       854       854        10         1
       855       855         7         1
       856       856        10         1
       857       857         9         1
       858       858        10         1
       859       859         8         1
       860       860        10         1
       861       861         9         1
       862       862        10         1
       863       863         5         1
       864       864        10         1
       865       865         9         1
       866       866        10         1
       867       867         8         1
       868       868        10         1
       869       869         9         1
       870       870        10         1
       871       871         7         1
       872       872        10         1
       873       873         9         1
       874       874        10         1
       875       875         8         1
       876       876        10         1
       877       877         9         1
       878       878        10         1
       879       879         6         1
       880       880        10         1
       881       881         9         1
       882       882        10         1
       883       883         8         1
       884       884        10         1
       885       885         9         1
       886       886        10         1
       887       887         7         1
       888       888        10         1
       889       889         9         1
       890       890        10         1
       891       891         8         1
       892       892        10         1
       893       893         9         1
       894       894        10         1
       895       895         3         1
       896       896        10         1
       897       897         9         1
       898       898        10         1
       899       899         8         1
       900       900        10         1
       901       901         9         1
       902       902        10         1
       903       903         7         1
       904       904        10         1
       905       905         9         1
       906       906        10         1
       907       907         8         1
       908       908        10         1
       909       909         9         1
       910       910        10         1
       911       911         6         1
       912       912        10         1
       913       913         9         1
       914       914        10         1
       915       915         8         1
       916       916        10         1
       917       917         9         1
       918       918        10         1
       919       919         7         1
       920       920        10         1
       921       921         9         1
       922       922        10         1
       923       923         8         1
       924       924        10         1
       925       925         9         1
       926       926        10         1
       927       927         5         1
       928       928        10         1
       929       929         9         1
       930       930        10         1
       931       931         8         1
       932       932        10         1
       933       933         9         1
       934       934        10         1
       935       935         7         1
       936       936        10         1
       937       937         9         1
       938       938        10         1
       939       939         8         1
       940       940        10         1
       941       941         9         1
       942       942        10         1
       943       943         6         1
       944       944        10         1
       945       945         9         1
       946       946        10         1
       947       947         8         1
       948       948        10         1
       949       949         9         1
       950       950        10         1
       951       951         7         1
       952       952        10         1
       953       953         9         1
       954       954        10         1
       955       955         8         1
       956       956        10         1
       957       957         9         1
       958       958        10         1
       959       959         4         1
       960       960        10         1
       961       961         9         1
       962       962        10         1
       963       963         8         1
       964       964        10         1
       965       965         9         1
       966       966        10         1
       967       967         7         1
       968       968        10         1
       969       969         9         1
       970       970        10         1
       971       971         8         1
       972       972        10         1
       973       973         9         1
       974       974        10         1
       975       975         6         1
       976       976        10         1
       977       977         9         1
       978       978        10         1
       979       979         8         1
       980       980        10         1
       981       981         9         1
       982       982        10         1
       983       983         7         1
       984       984        10         1
       985       985         9         1
       986       986        10         1
       987       987         8         1
       988       988        10         1
       989       989         9         1
       990       990        10         1
       991       991         5         1
       992       992        10         1
       993       993         9         1
       994       994        10         1
       995       995         8         1
       996       996        10         1
       997       997         9         1
       998       998        10         1
       999       999         7         1
      1000      1000        10         1
      1001      1001         9         1
      1002      1002        10         1
      1003      1003         8         1
      1004      1004        10         1
      1005      1005         9         1
